ingredient_name,rating,functions,link
Adansonia Digitata Seed Oil,BEST,"Also known as Baobab seed oil, this plant-derived emollient ingredient hydrates, soothes, and provides anti-aging antioxidant benefits.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-adansonia-digitata-seed-oil.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Adenosine,BEST,"Known for wrinkle-smoothing and skin-soothing benefits. Adenosine is also naturally present in skin, allowing for ideal biocompatibility.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-adenosine.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Adenosine Phosphate,BEST,"Also known as AMP, adenosine phosphate is a skin-soothing and restoring ingredient that's similar to adenosine triphosphate.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-adenosine-phosphate.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Adenosine Triphosphate,BEST,"An organic compound from adenosine, which is formed by the hydrolysis of yeast nucleic acids. Research has shown that ATP appears to have strong potential as a skin-restoring ingredient and as a soothing agent.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-adenosine-triphosphate.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
AHA,BEST,"AHA, also known as alpha hydroxy acid, exfoliates skin and improves signs of aging, dry skin and an uneven skin tone.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-aha.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Ahnfeltiopsis Concinna Extract,BEST,Ahnfeltiopsis concinna extract is a type of red algae with calming and hydrating properties for skin.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-ahnfeltiopsis-concinna-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Akebia Quinata (Chocolate Vine) Stem Extract,BEST,"Stem portion of a large woody vine with flowering leaves. Named chocolate vine due to its scent, the stem has antioxidant properties for skin.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-akebia-quinata-chocolate-vine-stem-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Alaria Esculenta Extract,BEST,"A type of brown seaweed rich in amino acids, plant proteins, minerals, and other compounds that visibly influence aging factors within skin.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-alaria-esculenta.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Albatrellus Confluens (Mushroom) Extract,BEST,"Also known as Northern Truffle, this wild mushroom is proving to be very helpful for soothing reddened, sensitized skin.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-albatrellus-confluens-mushroom-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Aleurites Moluccana Seed Oil,BEST,Non-volatile oil from a plant native to Hawaii; it has emollient properties for skin.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-aleurites-moluccana-seed-oil.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Alfalfa Extract,BEST,Can be an antioxidant in skin care products.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-alfalfa-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Algae,BEST,"Algae are very simple, chlorophyll-containing organisms.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-algae.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Algae Extract,BEST,"The extract of very simple, chlorophyll-containing organisms.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-algae-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Allantoin,BEST,"An ingredient that can be naturally derived or made synthetically. It has skin-soothing and moisturizing properties, making it an excellent inclusion in products designed for sensitive skin.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-allantoin.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Allantoin Glycyrrhetinic Acid,BEST,"Combination of two top skin soothers, allantoin and licorice-derived glycyrrhetinic acid, that also provides antioxidant benefit.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-allantoin-glycyrrhetinic-acid.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Almond/Borage/Linseed/Olive Acids Glycerides,BEST,"A mixture of the fatty acid and triglyceride components of several non-fragrant plant oils, including almond, borage, linseed, and olive.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-almond-borage-linseed-olive-acids-glycerides.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Almond Oil,BEST,Non-volatile oil extracted from the seeds of almonds and used as an emollient.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-almond-oil.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Aloe Barbadensis,BEST,"Commonly used plant extract that has soothing properties, antioxidant qualities, and serves as a hydrating agent.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-aloe-barbadensis.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Aloe Barbadensis Leaf Extract,BEST,Extract derived from the aloe vera plant. Offers skin-soothing/hydration benefits + antioxidant properties.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-aloe-barbadensis-leaf-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Aloe Barbadensis Leaf Juice,BEST,Juice expressed from the leaves of the aloe plant. Commonly used in skin care formulations for its soothing and hydration benefits.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-aloe-barbadensis-leaf-juice.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Aloe Barbadensis Leaf Juice Extract,BEST,This extract taken from the aloe plant may also be listed as aloe extract or aloe juice.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-aloe-barbadensis-leaf-juice-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Aloe Barbadensis Leaf Juice Powder,BEST,This form of aloe is the powder form of the aloe barbadensis leaf plant.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-aloe-barbadensis-leaf-juice-powder.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Aloe Extract,BEST,"Commonly used plant extract that has soothing properties, antioxidant qualities, and serves as a hydrating agent.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-aloe-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Aloe Juice,BEST,Hydrating ingredient dervied from Aloe barbadensis.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-aloe-juice.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Aloe Vera,BEST,"Aloe vera is a commonly used plant extract that has soothing properties, antioxidant qualities, and serves as a hydrating agent.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-aloe-vera.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Alpha-Arbutin,BEST,Alpha-arbutin is one of the effective options for targeting skin discolorations. It’s also a potent antioxidant.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-alpha-arbutin.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Alpha Bisabolol,BEST,Soothing ingredient with significant skin-calming properties. Can be derived from plants (such as chamomile) or made synthetically.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-alpha-bisabolol.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Alpha-Glucan,BEST,"Polysaccharide that plays a variety of roles in skin care including chelating agent, bulking agent, prebiotic, humectant, delivery enhancer, and antioxidant.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-alpha-glucan.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Alpha-Glucan Oligosaccharide,BEST,This natural prebiotic helps reinforce and support a healthy microbiome while helping skin become less likely to show signs of irritation.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-alpha-glucan-oligosaccharide.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Alpha Hydroxy Acid,BEST,"Also known as AHA, it exfoliates skin and improves signs of aging, dry skin and an uneven skin tone.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-alpha-hydroxy-acid.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Alpha Lipoic Acid,BEST,"Alpha lipoic acid is an enzyme that, when applied topically on skin, appears to be a very good antioxidant, and is believed to have numerous soothing effects.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-alpha-lipoic-acid.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Alpha-Tocopherol,BEST,Antioxidant that is a form of vitamin E.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-alpha-tocopherol.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Althaea Officinalis,BEST,Latin name for the marshmallow plant.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-althea-officinalis.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Althaea Officinalis Root Extract,BEST,This soothing plant also helps visibly repair damaged skin and provides light emollient properties.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-althaea-officinalis-root-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Amaranthus Caudatus Seed extract,BEST,"Plant extract with moisturizing benefits and anti-aging potential, thanks to its skin-beneficial compounds.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-amaranthus-caudatus-seed-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Amino Acids,BEST,Fundamental constituents of all proteins found in the body.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-amino-acid.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Ammonium Glycolate,BEST,Synthetic form of glycolic acid used as a pH adjuster and exfoliant.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-ammonium-glycolate.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Anastatica Hierochuntica Extract,BEST,"This plant extract is a source of skin-soothing, anti-aging antioxidants and may also help improve uneven tone.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-anastatica-hierochuntica-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Anthemis Nobilis Flower Extract,BEST,"Also known as chamomile flower extract, this ingredient has notable skin soothing and anti-aging properties.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-anthemis-nobilis-flower-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Anthocyanin,BEST,"Group of naturally occurring substances found in plants that give fruits, vegetables, and plants.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-anthocyanin.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Antioxidant,BEST,General term for a large group of natural and synthetic ingredients that work to defend against environmental stress on skin,https://www.paulaschoice.com/ingredient-dictionary/ingredient-antioxidant.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Apple Fruit Extract,BEST,"General name for various types of apples, all of which have potent antioxidant ability that, at least in theory, can benefit skin when applied topically.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-apple-fruit-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Apricot Kernel Oil,BEST,"Emollient plant oil pressed from the seeds of apricots, and similar to other nonfragrant plant oils.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-apricot-kernel-oil.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Arachis Hypogaea Extract,BEST,Extract of the plant commonly known as the peanut. It can have emollient and skin soothing properties.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-arachis-hypogaea-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Arbutin,BEST,Antioxidant that helps enhance and even out overall skin tone. Works by interrupting triggers of discolorations. Can be of natural or synthetic origin.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-arbutin.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Arctium Lappa,BEST,Skin-soothing antioxidant.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-arctium-lappa.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Arctium Lappa Root Extract,BEST,Skin-soothing antioxidant.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-arctium-lappa-root-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Arctium Majus,BEST,Functions as a skin-soothing antioxidant.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-arctium-majus.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Arctium Majus Root Extract,BEST,Functions as a skin-soothing antioxidant.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-arctium-majus-root-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Arctostaphylos Uva Ursi Leaf Extract,BEST,A plant-based ingredient with antioxidant properties. Research also indicates it can help improve the look of skin discolorations.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-arctostaphylos-uva-ursi-leaf.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Argania Spinosa,BEST,"This tree is the source of argan oil, which contains several beneficial lipids and fatty acids for skin.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-argania-spinosa.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Argania Spinosa Kernel Oil,BEST,Argania spinosa kernel oil is the latin name for the oil expressed from the kernels of the argan tree.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-argania-spinosa-kernel-oil.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Argan Oil,BEST,Non-fragrant plant oil expressed from the kernels of argan trees. Argan oil contains several beneficial lipids and fatty acids for skin.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-argan-oil.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Arginine,BEST,Amino acid with antioxidant and hydration properties.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-arginine.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Arginine/Lysine Polypeptide,BEST,A highly targeted multi-peptide that helps skin's supportive elements resist further damage while working to repair visible signs of aging.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-arginine-lysine-polypeptide.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Aristotelia Chilensis (Maqui),BEST,"Maqui, also known as Chilean wineberry, is a richly-colored berry that contains a potent type of antioxidant anthocyanidin known as delphinidins.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-aristotelia-chilensis-maqui.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Ascorbic Acid,BEST,"Pure vitamin C, the primary antioxidant in skin. Works as an antioxidant, dullness brightener, wrinkle-reducer, and helps fade discolorations.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-ascorbic-acid.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Ascorbyl Glucosamine,BEST,Form of vitamin C that has little research showing it has the antioxidant or brightening properties of other forms of vitamin C.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-ascorbyl-glucosamine.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Ascorbyl Glucoside,BEST,"Stable, water-soluble form of vitamin C that brightens dull skin and fades discolorations.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-ascorbyl-glucoside.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Ascorbyl Methylsilanol Pectinate,BEST,Form of vitamin C that is considered stable and that functions as an antioxidant and thickening agent.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-ascorbyl-methylsilanol-pectinate.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Ascorbyl Palmitate,BEST,"Stable, oil-soluble form of vitamin C that works as an antioxidant and helps stabilize skin care formulas.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-ascorbyl-palmitate.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Ascorbyl Tetraisopalmitate,BEST,"Highly stable, oil soluble derivative of vitamin C that helps protect skin from environmental aggressors and promotes a firm skin structure.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-ascorbyl-tetraisopalmitate.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
