ingredient,skin_type,effect,confidence
77492,normal,neutral,low
77942,normal,neutral,low
8 plant-derived oils and extracts,dry,good,low
9 jelly cleanser,normal,neutral,low
<br>-hyaluronic acid,"dry,sensitive",good,medium
[+,normal,neutral,low
[+ -,normal,neutral,low
[may contain,normal,neutral,low
[may contain peut contenir,normal,neutral,low
[may contain peut contenir +,normal,neutral,low
[parfum ],sensitive,avoid,medium
a complex of oligopeptides and amino acids,wrinkle,good,low
a firming peptide,wrinkle,good,low
a stable vitamin c derivative aqua water eau,"pigmentation,wrinkle",good,medium
abies balsamea needle oil,dry,good,low
abies pectinata leaf oil,dry,good,low
abies sibirica needle oil,dry,good,low
absorb surface oil,dry,good,low
absorbs excess oil and refines pores water,dry,good,low
absorbs oil,dry,good,low
abyssinica oil,dry,good,low
acacia decurrens jojoba sunflower seed wax,dry,good,low
acai fruit oil,dry,good,low
acerola cherry,"wrinkle,pigmentation",good,low
acetyl heptapeptide-4,wrinkle,good,low
acetyl hexapeptide-3,wrinkle,good,low
acetyl tetrapeptide-15 *plant origin,wrinkle,good,low
acetyl tetrapeptide-3,wrinkle,good,low
acetyl tetrapeptide-5 and acetyl hexapeptide-8,wrinkle,good,low
acetylated hyaluronic acid,"dry,sensitive",good,medium
acetyle glucosamine,"dry,pigmentation",good,low
acetylheptapeptide-4,wrinkle,good,low
acid blend,normal,neutral,low
acid-free vitamin c,"pigmentation,wrinkle",good,medium
acide hyaluronique bleu,"dry,sensitive",good,medium
acide hyaluronique hydrolysé,"dry,sensitive",good,medium
acids,normal,neutral,low
acne scarring,normal,neutral,low
acsorbyl palmitate,,neutral,low
activated bamboo charcoal,"oily,sensitive",good,low
activated binchotan charcoal,oily,good,low
activated charcoal,oily,good,low
active microcapsules,normal,neutral,low
active peptide supercell booster,wrinkle,good,low
adapotgenic mushroom + ceramide complex,"dry,sensitive",good,medium
adaptogenic ashwagandha,"wrinkle,sensitive",good,low
adaptogenic astragalus and squalane,dry,good,medium
adaptogenic mushrooms,"wrinkle,sensitive",good,low
adaptogenic reishi,"wrinkle,sensitive",good,low
adaptogenic schisandra,"wrinkle,sensitive",good,low
address the causes of breakouts and sun damage,,neutral,low
addressing shine and excess oil salicylic acid,oily,good,medium
adipic acid diethylene glycol glycerin,"dry,sensitive",good,medium
adv timezone age rvr lw eye crm division,normal,neutral,low
adv timezone age rvr n c lwcrspf15 division,"sensitive,pigmentation",good,low
adv timezone night age rvr lw crm division,normal,neutral,low
advanced night repr eye sync cmpii division,normal,neutral,low
advanced night repr sync rec cmp11 division,normal,neutral,low
advanced night rp eye sr syn cmpii division,normal,neutral,low
advanced night rpr cnc rcvr eyemsk division,normal,neutral,low
advanced night rpr eye conc matrix division,normal,neutral,low
advanced night rpr int rcv ampoule division,normal,neutral,low
advanced night rpr powerfoil mask division,dry,good,low
advanced vitamin c,"pigmentation,wrinkle",good,medium
aegle marmelo,normal,neutral,low
agave tequilana,normal,neutral,low
age repair complex,normal,neutral,low
age-defying peptide,wrinkle,good,low
aha + bha acid blend,"oily,pigmentation",good,low
aha + bha acid complex,"oily,pigmentation",good,low
aha 10% and pha,"oily,pigmentation",good,medium
aha acids,"oily,pigmentation",good,low
aha and bha,"oily,pigmentation",good,low
aha and bha acid blend,"oily,pigmentation",good,low
aha and bha blend,"oily,pigmentation",good,low
aha and bha multi-acid complex,"oily,pigmentation",good,low
aha and pha,"oily,pigmentation",good,medium
aha bha pha,"oily,pigmentation",good,medium
aha blend,"oily,pigmentation",good,low
aha superfruit blend,"oily,pigmentation",good,low
ahas,"oily,pigmentation",good,low
ahas 10%,"oily,pigmentation",good,low
ahas 5%,"oily,pigmentation",good,low
ahas and 10% phas,"oily,pigmentation",good,medium
ahas and bhas,"oily,pigmentation",good,low
ahas and phas,"oily,pigmentation",good,medium
ahas and salicylic acid,oily,good,medium
akita rice,normal,neutral,low
alchol denat,normal,neutral,low
"alcohol denat,aloe barbadensis leaf juice","dry,sensitive",good,medium
"alcohol denat,pentylene glycol",dry,good,low
aleurites moluccana seed oil aleurites moluccanus seed oil,dry,good,low
alfalfa sprouts,normal,neutral,low
all natural blend of menthol,normal,neutral,low
all products are free from synthetic fragrance,sensitive,avoid,medium
all-natural salicylic acid,oily,good,medium
allantoin and panthenol,"dry,sensitive",good,medium
"allantoin,peg-60 hydrogenated castor oil",sensitive,good,medium
aloe vera and hyaluronic acid,"dry,sensitive",good,medium
alpha beta gamma fatty acids,"oily,pigmentation",good,medium
alpha glucan,"oily,pigmentation",good,medium
alpha olefin,"oily,pigmentation",good,medium
alpine rose,"dry,sensitive",good,low
alternifolia leaf oil,dry,good,low
aluminium ferrule,,neutral,low
aluminium hydroxide,,neutral,low
aluminum calcium sodium silicate,oily,good,low
aluminum dimyristate,,neutral,low
aminomethyl porpanol,normal,neutral,low
aminopropyl triethoxysilane,normal,neutral,low
amla superberry,normal,neutral,low
amount per serving,normal,neutral,low
amt,normal,neutral,low
amylopectin glycerin crosspolymer,"dry,sensitive",good,medium
an- themis nobilis flower oil,dry,good,low
and 6,,neutral,low
and 6 fatty acids avobenzone,,neutral,low
and 9,,neutral,low
and 9 plant oil),dry,good,low
and 9 to visibly revive dull,,neutral,low
and 9),,neutral,low
and a mimosa sunflower jojoba oil blend),dry,good,low
and apricot oil),dry,good,low
and avocado oils),dry,good,low
and b5,,neutral,low
and blueberry antioxidant complex,"pigmentation,wrinkle",good,low
and boosts cell turnover for brighter-,,neutral,low
and borage seed oil,dry,good,low
and botanical alt-retinol),wrinkle,good,medium
and c,,neutral,low
and calming scents prunus armeniaca kernel oil,dry,good,low
and castor oils,dry,good,low
and cedarwood essential oils,dry,good,low
and ceramide,"dry,sensitive",good,medium
and ceramides,"dry,sensitive",good,medium
and chia seed oils,dry,good,low
and coconut oil,dry,good,low
and conditions lips ricinus communis seed oil,dry,good,low
and coq10,"pigmentation,wrinkle",good,low
and cupuaçu butters),dry,good,low
and dark spots while promoting visibly clearer,,neutral,low
and even the look of complexion aqua,,neutral,low
and fatigue squalane,dry,good,medium
and fatty acids,,neutral,low
and glycerin -red algae,"dry,sensitive",good,medium
and glycolic acids,"oily,pigmentation",good,medium
and grapefruit oils,dry,good,low
and grapeseed oil),"pigmentation,wrinkle",good,low
and grapeseed oils,"pigmentation,wrinkle",good,low
and hyaluronic acid,"dry,sensitive",good,medium
and hydrate lips octisalate 47% zinc oxide,sensitive,good,medium
and hydrolyzed hyaluronic acid,"dry,sensitive",good,medium
and irritated skin salicylic acid water,oily,good,medium
and jojoba seed oils,dry,good,low
and lactic acids),"oily,pigmentation,dry",good,medium
and lock in hydration -ceramides 1,"dry,sensitive",good,medium
and lock makeup in place zinc oxide,sensitive,good,medium
and locks in moisture ricinus communis seed oil,dry,good,low
and macadamia nut oils,dry,good,low
and marula oil restore and maintain moisture water,dry,good,low
and meadowfoam oils,dry,good,low
and minimizes the look of pores zinc oxide,sensitive,good,medium
and moisturize organic helianthus annuus seed oil,dry,good,low
and moisturize shea butter,dry,good,low
and murumuru butters,dry,good,low
and niacinamide,"oily,pigmentation",good,medium
and nourishes skin salicylic acid,oily,good,medium
and nourishes squalane,dry,good,medium
and olive fruit oils,dry,good,low
and olive oils,dry,good,low
and olive-derived squalane,dry,good,medium
and olus oils,dry,good,low
and omega-3 fatty acids,"dry,wrinkle",good,low
and palmitoyl tetrapeptide-7),wrinkle,good,low
and peptide complex,wrinkle,good,low
and peptides,wrinkle,good,low
and pha,"oily,pigmentation",good,medium
and phas visibly resurface,"oily,pigmentation",good,medium
and phytic acid,,neutral,low
and plant extracts,"dry,sensitive,wrinkle",good,low
and plum kernel oils,dry,good,low
and plumps zinc oxide 1320 -,sensitive,good,medium
and pollution zinc oxide,sensitive,good,medium
and polypeptide-11,wrinkle,good,low
and pomegranate oils,dry,good,low
and prevent clogging -glycolic acid,"oily,pigmentation",good,medium
"and promote skin repair water eau aqua,lactic acid","oily,pigmentation,dry",good,medium
and purify glycerin,"dry,sensitive",good,medium
and refined kiwi oil and argan oil,dry,good,low
and reinforces skin’s protective barrier sodium hyaluronate,"dry,sensitive",good,medium
and rosehip oils,"dry,pigmentation",good,low
and rosehip oils),"dry,pigmentation",good,low
and rosehip seed oils,"dry,pigmentation",good,low
and salicylic acids visibly exfoliate,oily,good,medium
and sea buckthorn oils,dry,good,low
and shea butter,dry,good,low
and shea butters,dry,good,low
and silica,oily,good,low
and silicate minerals),oily,good,low
and smooths caryodendron orinocense seed oil,dry,good,low
and smooths the look of textured skin sulfur,,neutral,low
and smooths the skin salicylic acid,oily,good,medium
and sodium pca,,neutral,low
and softens the look of fine lines glycerin,"dry,sensitive",good,medium
and softens theobroma cacao seed butter,dry,good,low
and soothes lips helianthus annuus seed oil,dry,good,low
and squalane,dry,good,medium
and starflower oils,dry,good,low
and sugarcane-derived squalane),dry,good,medium
and sunflower oil,dry,good,low
and sunflower oil extract,dry,good,low
and supports the moisture barrier seed oil,dry,good,low
and visibly decongests pores aqua,,neutral,low
and visibly renew dry,,neutral,low
and visibly restores skin's radiance,,neutral,low
and visibly softens rough,,neutral,low
and vitamin c,"pigmentation,wrinkle",good,medium
and vitamin e,"pigmentation,wrinkle",good,low
and white kaolin,oily,good,low
and wrinkles -lactic acid,"oily,pigmentation,dry",good,medium
and zinc chloride,,neutral,low
and zinc oxide,sensitive,good,medium
and zinc oxides,sensitive,good,medium
aniba rosaeodora wood oil aniba rosaeodora wood oil,dry,good,low
aniba rosodora wood oil,dry,good,low
anibarosodora wood oil,dry,good,low
animal ingredients,normal,neutral,low
anthe mis nobilis flower oil,dry,good,low
anthemis nobilisflower oil,dry,good,low
anthemis obilis flower oil,dry,good,low
anthemisnobilis flower oil,dry,good,low
anti-redness complex,normal,neutral,low
antioxidant blend,normal,neutral,low
antioxidant complex,normal,neutral,low
antioxidant fruit complex,normal,neutral,low
antioxidant superfood complex,normal,neutral,low
antioxidant vitamin e blend,"pigmentation,wrinkle",good,low
antioxidant-rich botanical complex,normal,neutral,low
apium graveolens seed oil,dry,good,low
apple extract and hyaluronic acid,"dry,sensitive",good,medium
apple pectin,pigmentation,good,low
apricot and starflower oils,dry,good,low
apricot kernel oils,dry,good,low
"aqua water eau,glycerin","dry,sensitive",good,medium
aquaport technology,normal,neutral,low
arctic cloudberry and sugar-derived squalane,dry,good,medium
arctic microalgae + niacinamide,"oily,pigmentation",good,medium
argan,dry,good,low
argan kernel oil,dry,good,low
argan oil isostearyl esters** **natural,dry,good,low
argan shell powder and lava stone pumice,dry,good,low
argania spinosa oil* *organic,dry,good,low
argania spinosa shell powder,dry,good,low
argilla magnesium aluminum silicate,oily,good,low
arginine ethylhexylglycerin,"dry,sensitive",good,medium
argireline peptide-infused extra repair complex,wrinkle,good,low
arnica oil,dry,good,low
aromatherapeutic benefits,normal,neutral,low
artemesia pallens flower oil,dry,good,low
artemisia flower,normal,neutral,low
artemisia vulgaris,normal,neutral,low
ascorbic acid ],"pigmentation,wrinkle",good,medium
ascorbyl glu- coside,normal,neutral,low
"ascorbyl glucoside,tranexamic acid",pigmentation,good,medium
ascorbyl tetraisopal-mitate,normal,neutral,low
asparagus racemosus,normal,neutral,low
astrocaryum murumuruseed butter,dry,good,low
aurantium bergamia fruit oil,dry,good,low
avandula angustifolia oil,dry,good,low
azelaic acid derivative,"oily,pigmentation",good,medium
açai oil,dry,good,low
açaí,normal,neutral,low
açaí oil,dry,good,low
aça�,normal,neutral,low
b complex from organic blend of psidium guajava,normal,neutral,low
b-complex,normal,neutral,low
backhousia citriodora leaf oil,dry,good,low
backhousia citriodora oil,dry,good,low
bacuri butter,dry,good,low
badi kateri,normal,neutral,low
bakuchi seed,normal,neutral,low
bakuchi seed oil,dry,good,low
bakuchiol and eye firming peptides,"wrinkle,sensitive",good,medium
balance oil,dry,good,low
balanced skin -menthol,normal,neutral,low
balances skin,normal,neutral,low
bamboo and mineral silica,oily,good,low
bamboo charcoal,"oily,sensitive",good,low
bamboo charcoal powder,"oily,sensitive",good,low
bamboo fibers,"oily,sensitive",good,low
bambusa arundiaceae,normal,neutral,low
bambusoides juice,normal,neutral,low
baobab oil,dry,good,low
baobab seed oil,dry,good,low
barbassu oil,dry,good,low
barrier renewal complex,normal,neutral,low
barrier support complex,normal,neutral,low
behenyl alcohol tocopheryl acetate,,neutral,low
bel air,normal,neutral,low
bentonite clay,oily,good,low
benzyl acohol,normal,neutral,low
bergamont essential oil,dry,good,low
bertholletia excelsa seed oil,dry,good,low
beta glucanase,normal,neutral,low
beta sitosterol,normal,neutral,low
bha botanical alternatives,oily,good,low
bha from white willow bark and meadowsweet,oily,good,low
bha pha,"oily,pigmentation",good,medium
bhas,oily,good,low
bija seed oil,dry,good,low
binchotan charcoal paste,oily,good,low
bio-active plant peptides,wrinkle,good,low
bio-ceramides & shea butter,"dry,sensitive",good,medium
bio-lifting complex and niacinamide,"oily,pigmentation",good,medium
bio-peptides,wrinkle,good,low
bio-retinol,wrinkle,good,medium
bioactive ceramides,"dry,sensitive",good,medium
bioactive mushroom complex,"wrinkle,sensitive",good,low
bioavailable hyaluronic acid,"dry,sensitive",good,medium
biocellular longoza technology,normal,neutral,low
biocellulose microgranules,,neutral,low
biologically-active milk polypeptides,wrinkle,good,low
biomimetic barrier shield technology,normal,neutral,low
biomimetic emulsifier,normal,neutral,low
biomimetic hexapeptide-9,wrinkle,good,low
biomimetic peptide,wrinkle,good,low
biomimetric tri amino acid peptides,wrinkle,good,low
bionymph peptide,wrinkle,good,low
bionymph peptide complex,wrinkle,good,low
biopeptide complex,wrinkle,good,low
bioretinol,wrinkle,good,medium
biotic balancing complex,normal,neutral,low
biotinoyl tripeptide-1,wrinkle,good,low
biotinoyl tripeptide-1 and panthenol,"dry,sensitive",good,medium
bis-glyceryl ascorbate,normal,neutral,low
"bisabolol,citrus aurantium bergamia fruit oil",sensitive,good,low
bitter cherry,normal,neutral,low
black cardamom,normal,neutral,low
black cumin oil,dry,good,low
black pepper,normal,neutral,low
black pine,normal,neutral,low
black rose,"dry,sensitive",good,low
black rose oil,dry,good,low
black soybean,normal,neutral,low
blackbee repair technology,normal,neutral,low
blend of niacinamide and encapsulated vitamin c,"oily,pigmentation",good,medium
blend of upcycled blueberry & raspberry seed oils,dry,good,low
blend of upcycled blueberry and raspberry seed oils,dry,good,low
blue algae vitamin c and phycocynanin,"pigmentation,wrinkle",good,medium
blue hyaluronic acid,"dry,sensitive",good,medium
blue tansy oil,dry,good,low
blueberry seed oil,dry,good,low
bluescreen digital de-stress technology,normal,neutral,low
blurring complex,normal,neutral,low
blurring microspheres,normal,neutral,low
boerhavia diffusa,normal,neutral,low
boost,normal,neutral,low
boost elasticity,normal,neutral,low
boost moisture,normal,neutral,low
boosted longoza,normal,neutral,low
boosting skin’s elasticity,normal,neutral,low
boosts firmness and elasticity,normal,neutral,low
boosts the look of bounce and elasticity,normal,neutral,low
borage oil,dry,good,low
borago officinalis,dry,good,low
botanical blend,normal,neutral,low
botanical complex,normal,neutral,low
botanical eye-contour complex,normal,neutral,low
brassica alba oil,dry,good,low
brassica campestris aleurites fordi oil crosspolymer,dry,good,low
brassica oleracea,normal,neutral,low
brassica oleracea italic seed oil,dry,good,low
brassica oleracea italica seed oil,dry,good,low
brassica oleracea italica seed oil broccoli seed oil,dry,good,low
brazil nut oil,dry,good,low
brazilian kaolin volcanic clay,oily,good,low
broccoli seed oil,dry,good,low
buriti fruit oil,dry,good,low
bursera graveolens,normal,neutral,low
butlyene glycol,normal,neutral,low
butterfly pea flower,normal,neutral,low
butyl methoxydibenzoylimethane,normal,neutral,low
"butylene glycol,glycerin","dry,sensitive",good,medium
butylene gycol,normal,neutral,low
butylene gylcol,normal,neutral,low
butyrospermum parkii butter polyglyceryl-3 beeswax,dry,good,low
butyrospermum parkii butter unsaponifiables,dry,good,low
butyrospermum parkii nut butter,dry,good,low
butyrospermum parkii oil shea oil,dry,good,low
butyrospermum parkii shea butter,dry,good,low
butyrospermum parkii¬ butter,dry,good,low
butyrospermumparkii butter,dry,good,low
butyrospermun parkii,normal,neutral,low
butyrosperum parkii butter,dry,good,low
bétaïne,normal,neutral,low
c+niacinamide,"oily,pigmentation",good,medium
c-peptide,wrinkle,good,low
c10-30 cholesterol,"dry,sensitive",good,low
c13-14,normal,neutral,low
cacay oil,dry,good,low
caffeine and peptides,"oily,pigmentation",good,low
calcium aluminum borosilicate,oily,good,low
calcium clubonate,,neutral,low
calcium sodium borosilicate,oily,good,low
calcium sodium phosphosilicate,oily,good,low
calcium sulphate,"oily,pigmentation",good,medium
calcium titanium borosilicate,oily,good,low
calendula oil,sensitive,good,low
callitris intratropica oil,dry,good,low
calming redness,normal,neutral,low
calms skin,normal,neutral,low
calophyllum inophyllum oil,dry,good,low
calsium gluconate,,neutral,low
camelia sinensis,normal,neutral,low
camellia and jojoba oils,dry,good,low
camellia flower oil,dry,good,low
camellia oleifara oil,dry,good,low
camellia sinesis seed oil,dry,good,low
camphor,normal,neutral,low
camphor silica,oily,good,low
camu camu,normal,neutral,low
canarium lozonicum gum oil,dry,good,low
caning odonata flower oil,dry,good,low
cannabis sativa seed oil,dry,good,low
cannabis sativa seed oilglycine soja oil,dry,good,low
canola oil sunflower seed oil unsaponifiables,dry,good,low
caprylic capric glycerides polyglycerin-10 esters,"dry,sensitive",good,medium
caprylic capric triglyceride glycerin,"dry,sensitive",good,medium
"caprylic capric triglyceride,glycerin","dry,sensitive",good,medium
caprylic caprylique,normal,neutral,low
caprylohydroxamic acid oryza sativa bran oil,dry,good,low
capryly glycol,normal,neutral,low
capsanthin capsorubin,normal,neutral,low
"carbomer,fragrance",sensitive,avoid,medium
"carbomer,tocopheryl acetate",,neutral,low
carbon dioxide,,neutral,low
carrot seed oil,dry,good,low
carthamus tinctorious seed oil,dry,good,low
carthamus tinctorium seed oil,dry,good,low
carthamus tinctorius seed oil avena sativa peptide,wrinkle,good,low
carthamus tinctorius seed oil safflower seed oil,dry,good,low
carum carvi seed oil,dry,good,low
carum petroselinum seed oil,dry,good,low
cassia hydroxypropyltrimoniumchloride,,neutral,low
castor oil ipdi copolymer,dry,good,low
castor seed,normal,neutral,low
castor seed oil,dry,good,low
castor seed oil and cocoa extract,dry,good,low
caviar lime,normal,neutral,low
cayenne pepper,normal,neutral,low
cbg,normal,neutral,low
cedrus atlantica,normal,neutral,low
cedrus atlantica bark essential oil,dry,good,low
cedrus dcodara,normal,neutral,low
cellutone complex,normal,neutral,low
centrimonium chloride,,neutral,low
cera carnauba,normal,neutral,low
ceramide,"dry,sensitive",good,medium
ceramide & peptide complex,"dry,sensitive",good,medium
ceramide 1,"dry,sensitive",good,medium
ceramide complex,"dry,sensitive",good,medium
ceramide hydration gel,"dry,sensitive",good,medium
ceramide iii,"dry,sensitive",good,medium
ceramide np and squalane,dry,good,medium
ceramide precursors),"dry,sensitive",good,medium
ceramide-encapsulated retinol,"dry,sensitive",good,medium
ceramides and amino acids,"dry,sensitive",good,medium
ceramides and fatty acids,"dry,sensitive",good,medium
ceramides and hyaluronic acid,"dry,sensitive",good,medium
ceramides and olive glycerides,"dry,sensitive",good,medium
ceramides and panthenol,"dry,sensitive",good,medium
ceramides ap and np,"dry,sensitive",good,medium
ceramides complex,"dry,sensitive",good,medium
ceramidin complex,normal,neutral,low
cerium oxide,,neutral,low
cetearyl alcoho,,neutral,low
ceteayl olivate,normal,neutral,low
cetrimonium bromide,normal,neutral,low
cetyl hydroxethylcellulose,,neutral,low
cetyl octanoate,"dry,sensitive",good,low
chaga mushroom,wrinkle,good,low
chamaecyparis obtusa wood oil,dry,good,low
chamomila recutita flower oil,dry,good,low
chapped lips butyrospermum parkii butter,dry,good,low
charcoal fiber from 100 percent bamboo,"oily,sensitive",good,low
charcoal pore pudding black,oily,good,low
chemical exfoliants,,neutral,low
chemical sunscreens,,neutral,low
chia seed oil,dry,good,low
chia seeds,normal,neutral,low
chia),normal,neutral,low
chickpea flour,normal,neutral,low
chios crystal oil,dry,good,low
chlorhexidine gluconate,,neutral,low
chlorphenesin glycerin,"dry,sensitive",good,medium
cholesterol potassium sulfate,"dry,sensitive",good,low
chromium picolinate,normal,neutral,low
ci 15850 ],normal,neutral,low
ci 42090 ],normal,neutral,low
ci 42090 d202,normal,neutral,low
ci 45410 (red 27,normal,neutral,low
ci 45410 red 27,normal,neutral,low
ci 47000,normal,neutral,low
ci 60725,normal,neutral,low
ci 61565,normal,neutral,low
ci 61570,normal,neutral,low
ci 73360,normal,neutral,low
ci 75120,normal,neutral,low
ci 77019,normal,neutral,low
ci 77163,normal,neutral,low
ci 77491 77499,normal,neutral,low
ci 77491 ci 77492 ci 77499,normal,neutral,low
ci 77491),normal,neutral,low
ci 77492)],normal,neutral,low
ci 77499 ],normal,neutral,low
ci 77499) *essential oil,dry,good,low
ci 77499) <iln41405>* essential oil,dry,good,low
ci 77510,normal,neutral,low
ci 77742 ],normal,neutral,low
ci77491,normal,neutral,low
ci77499,normal,neutral,low
ci77891,normal,neutral,low
cica complex,normal,neutral,low
cinnamidopropyltrimonium chloride,,neutral,low
cinnamomum camphora leaf extract,"dry,sensitive,wrinkle",good,low
cinnamomum camphora linalooliferum wood extract,sensitive,avoid,low
cinnamomum cassia leaf oil,dry,good,low
cinnamomum tamala,normal,neutral,low
cinnamomum zeylanicum bark oil,dry,good,low
cinnamomum zeylanicum leaf oil,dry,good,low
circular jojoba beads,dry,good,low
citrillus ianatus seed oil,dry,good,low
citris sinesis peel oil,dry,good,low
citrullus vulgaris,normal,neutral,low
citrus aurantifolia oil++,dry,good,low
citrus aurantifolia peel oil,dry,good,low
citrus aurantifolia seed oil,dry,good,low
citrus aurantium amara leaf twig oil,dry,good,low
citrus aurantium amara oil,dry,good,low
citrus aurantium bergamia peel oil,dry,good,low
citrus aurantium dulcis peel oil expressed,dry,good,low
citrus aurantium dulcis peel oil orange peel oil,dry,good,low
citrus aurantium dulcis peel oil+,dry,good,low
citrus aurantium dulcis peel oil++,dry,good,low
citrus aurantium flower oil,dry,good,low
citrus aurantium oil,dry,good,low
citrus aurantium peel oil,dry,good,low
