Label,Brand,Name,Price,Rank,Combination,Dry,Normal,Oily,Sensitive,ingredient,paula_description,good_for,bad_for,effect_stem,effect_type,Combination_effect,Dry_effect,Normal_effect,Oily_effect,Sensitive_effect
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Eucalyptus Globulus (Eucalyptus) Leaf Oil,,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Sesamum Indicum (Sesame) Seed Powder,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Medicago Sativa (Alfalfa) Seed Powder,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Helianthus Annuus (Sunflower) Seedcake,"Wax derived from sunflower seeds, known for its moisturizing properties and ability to enhance formulary texture.",moistur,,moistur,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal,"This non-fragrant plant oil has numerous benefits for skin, including as a source of triglycerides, fatty acids, and antioxidants.",antioxidant,,antioxidant,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Sodium Gluconate,"This synthetically derived ingredient binds to metal ions to increase the stability of skin care formulas. It also serves as a humectant, meaning it helps skin retain moisture.",moistur,,moistur,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Copper Gluconate,This copper salt of glucuronic acid helps transport water and other substances within skin.,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Calcium Gluconate,Calcium is an essential mineral for the body. A small amount of research shows calcium gluconate may be a good skin-soothing and restorative agent when applied topically.,sooth,,sooth,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Magnesium Gluconate,A magnesium salt that offers skin-conditioning benefits.,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Zinc Gluconate,Zinc gluconate is the zinc salt of gluconic acid produced from glucose that functions as a preservative.,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Magnesium Sulfate,"Commonly known as Epsom salt, a magnesium salt used as a texture enhancer.",,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Paraffin,"Waxy, petroleum-based substance used as a thickener in cosmetics.",,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Tocopheryl Succinate,This form of vitamin E helps defend skin from pollution and other environmental stressors that lead to signs of aging.,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Niacin,"This acid is one of two types of vitamin B3, the other being niacinamide.",,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Water,"This is the most widely used ingredient in skin care, often appearing first in product ingredient lists. Used as a solvent.",,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Beta-Carotene,"Member of the carotenoid family. There are hundreds of carotenoids, including lycopene and lutein.",,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Decyl Oleate,A skin-conditioning agent with research backing its ability to improve immediate skin hydration. Its composition is similar to skin's natural lipids.,hydrat,,hydrat,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Aluminum Distearate,"A salt-derived blend of aluminum and stearic acid which functions as a stabilizer and thickening agent, among other things.",,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Octyldodecanol,"A mineral wax used as a texture enhancer in cosmetics, especially to add stability to lipsticks and stick foundations and keep them blended.",,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Citric Acid,"Fruit-derived ingredient used in skin care products to adjust a formula's pH. In the right concentration/formula, it can also exfoliate skin.",exfoliat,,exfoliat,good,1.0,-1.0,1.0,1.0,-1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Cyanocobalamin,"Overall there is limited research showing this ingredient has any benefit when applied topically on skin, though it might exert some when combined with other vitamins and antioxidants.",antioxidant,,antioxidant,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Magnesium Stearate,Used as a thickening agent in cosmetics.,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Panthenol,Also known as pro-vitamin B5. Humectant that increases hydration substantially by attracting/retaining moisture. Can also play a role in visibly reducing facial redness triggered by sensitivity.,"hydrat,moistur",,hydrat,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Panthenol,Also known as pro-vitamin B5. Humectant that increases hydration substantially by attracting/retaining moisture. Can also play a role in visibly reducing facial redness triggered by sensitivity.,"hydrat,moistur",,moistur,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Limonene,A volatile chemical compound often found in citrus oils. It’s used as a fragrance and solvent but can sensitize skin.,,sensitiz,sensitiz,bad,0.0,0.0,0.0,0.0,-1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Geraniol,"A volatile fragrance ingredient extracted from geranium, geraniol is capable of causing sensitivity when applied to skin.",,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Linalool,"A plant-derived fragrant compound that can cause skin sensitization, especially when exposed to air.",,sensitiz,sensitiz,bad,0.0,0.0,0.0,0.0,-1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Hydroxycitronellal,Synthetic fragrance compound with a floral scent that’s derived from the volatile citronellol. It can cause skin sensitization.,,sensitiz,sensitiz,bad,0.0,0.0,0.0,0.0,-1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Citronellol,"A volatile fragrance chemical extracted from geranium, rose, and other plants, citronellol has a characteristic grassy, citrus-like scent.",,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Benzyl Salicylate,"A volatile fragrance chemical with a sweet, floral odor used to impart scent to cosmetic products and perfumes.",,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Citral,,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Sodium Benzoate,This preservative is used to prevent the growth of bacteria and fungi in cosmetics and food products. It’s derived from benzoic acid.,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Alcohol Denat.,,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Fragrance.,One or a blend of volatile and/or fragrant plant oils (or synthetically derived oils) that impart aroma and odor to products.,,,,,,,,,
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,1,1,1,1,1,Galactomyces Ferment Filtrate (Pitera),"This yeast byproduct of sake fermentation has antioxidant, soothing, and discoloration-reducing properties.","antioxidant,discolor,sooth",,antioxidant,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,1,1,1,1,1,Galactomyces Ferment Filtrate (Pitera),"This yeast byproduct of sake fermentation has antioxidant, soothing, and discoloration-reducing properties.","antioxidant,discolor,sooth",,discolor,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,1,1,1,1,1,Galactomyces Ferment Filtrate (Pitera),"This yeast byproduct of sake fermentation has antioxidant, soothing, and discoloration-reducing properties.","antioxidant,discolor,sooth",,sooth,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,1,1,1,1,1,Butylene Glycol,"Humectant (hydration booster), texture/penetration enhancer, and formulary solvent. May also help decrease rough surface skin and stabilize the formula.",hydrat,,hydrat,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,1,1,1,1,1,Pentylene Glycol,"This water-binding ingredient works well in cosmetics as a hydrating ingredient, solvent, and texture enhancer. It has been deemed safe for use in skin care products.",hydrat,,hydrat,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,1,1,1,1,1,Water,"This is the most widely used ingredient in skin care, often appearing first in product ingredient lists. Used as a solvent.",,,,,,,,,
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,1,1,1,1,1,Sodium Benzoate,This preservative is used to prevent the growth of bacteria and fungi in cosmetics and food products. It’s derived from benzoic acid.,,,,,,,,,
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,1,1,1,1,1,Methylparaben,Parabens are a group of controversial preservatives.,,,,,,,,,
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,1,1,1,1,1,Sorbic Acid.,"A preservative that can be naturally derived or made synthetically. It prevents the growth of bacteria, mold, and fungi and is considered safe as used in cosmetics.",,,,,,,,,
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Water,"This is the most widely used ingredient in skin care, often appearing first in product ingredient lists. Used as a solvent.",,,,,,,,,
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Dicaprylyl Carbonate,"Skin-conditioning agent, emollient, and solvent that can be naturally or synthetically derived. According to its manufacturer, it’s particularly suitable for use in sunscreen products.",emollient,,emollient,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Glycerin,A naturally occurring substance in skin that helps retain moisture. It is used in skin care products to help defend against dryness.,moistur,,moistur,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Cetearyl Alcohol,Beneficial skin softening ingredient for skin (completely different from damaging/drying forms of alcohol). Also influences the foaming effects of a cleanser.,soft,drying,soft,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Cetearyl Alcohol,Beneficial skin softening ingredient for skin (completely different from damaging/drying forms of alcohol). Also influences the foaming effects of a cleanser.,soft,drying,drying,bad,-1.0,-1.0,0.0,1.0,-1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Cetearyl Olivate,Cetearyl olivate is an ester of cetearyl alcohol and fatty acids from olive oil.,,,,,,,,,
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Sorbitan Olivate,Sorbitan olivate is a mixture of the fatty acids from olive oil plus a sugar known as sorbitol.,,,,,,,,,
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Sclerocarya Birrea Seed Oil,"A non-fragrant plant oil that's a rich source of fatty acids for skin, including palmitic and stearic acids.",,,,,,,,,
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Bacillus/Soybean/ Folic Acid Ferment Extract,A ferment with skin conditioning and antioxidant properties that’s also a source of dark spot-fighting arbutin.,antioxidant,,antioxidant,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Nymphaea Alba Root Extract,An antioxidant derived from the roots of water lilies (Nymphaea alba).,antioxidant,,antioxidant,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,sh-Oligopeptide-1,"Functions: Anti-Sebum, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it.",protect,,protect,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,sh-Oligopeptide-2,"Functions: Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.",,,,,,,,,
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,sh-Polypeptide-1,"Functions: Antioxidant, Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.",antioxidant,,antioxidant,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,sh-Polypeptide-9,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.,,,,,,,,,
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,sh-Polypeptide-11,"This bio-identical single chain peptide plays a role in helping to shore up skin’s underlying support, smoothing wrinkles and improving resilience, among other benefits.",smooth,,smooth,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Copper Palmitoyl Heptapeptide-14,,,,,,,,,,
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Heptapeptide-15 Palmitate,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.,antioxidant,,antioxidant,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Palmitoyl Tetrapeptide-7,"This peptide blends four amino acids with a fatty acid to enhance penetration, where it goes to work quieting factors in skin that trigger irritation and damage to skin’s supportive elements.",,irritat,irritat,bad,-1.0,-1.0,-1.0,0.0,-1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Palmitoyl Tripeptide-1,Synthetic peptide proven to strengthen skin’s underlying supportive elements and visibly reduce signs of sun damage such as wrinkles and rough texture.,strengthen,,strengthen,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Alanine,"This amino acid is one of the building blocks of skin-strengthening proteins including collagen, elastin, and keratin. Applied topically it also has hydrating and calming properties.","calm,collagen,hydrat,strengthen",,calm,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Alanine,"This amino acid is one of the building blocks of skin-strengthening proteins including collagen, elastin, and keratin. Applied topically it also has hydrating and calming properties.","calm,collagen,hydrat,strengthen",,collagen,good,1.0,1.0,1.0,0.0,0.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Alanine,"This amino acid is one of the building blocks of skin-strengthening proteins including collagen, elastin, and keratin. Applied topically it also has hydrating and calming properties.","calm,collagen,hydrat,strengthen",,hydrat,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Alanine,"This amino acid is one of the building blocks of skin-strengthening proteins including collagen, elastin, and keratin. Applied topically it also has hydrating and calming properties.","calm,collagen,hydrat,strengthen",,strengthen,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Arginine,Amino acid with antioxidant and hydration properties.,"antioxidant,hydrat",,antioxidant,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Arginine,Amino acid with antioxidant and hydration properties.,"antioxidant,hydrat",,hydrat,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Glycine,"This skin replenishing ingredient is an amino acid produced by the body, but that can also be obtained through diet. Chemically, it is the simplest amino acid.",,,,,,,,,
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Histidine,"An essential amino acid that helps defend skin from environmental aggressors, maintain hydration, and also offers documented soothing benefits.","hydrat,sooth",,hydrat,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Histidine,"An essential amino acid that helps defend skin from environmental aggressors, maintain hydration, and also offers documented soothing benefits.","hydrat,sooth",,sooth,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Isoleucine,Amino acid that whose humectant properties help maintain skin’s hydration while consuming isoleucine via foods supports skin’s collagen and elastin.,"collagen,hydrat",,collagen,good,1.0,1.0,1.0,0.0,0.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Isoleucine,Amino acid that whose humectant properties help maintain skin’s hydration while consuming isoleucine via foods supports skin’s collagen and elastin.,"collagen,hydrat",,hydrat,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Phenylalanine,This amino acid helps hydrate skin and can improve the appearance of an uneven tone because of its ability to inhibit melanin production.,"hydrat,tone",,hydrat,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Phenylalanine,This amino acid helps hydrate skin and can improve the appearance of an uneven tone because of its ability to inhibit melanin production.,"hydrat,tone",,tone,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Proline,This amino acid helps skin retain moisture and supports the structures in skin that keep it looking and feeling youthful.,moistur,,moistur,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Serine,This amino acid helps synthesize proteins and occurs naturally in the human body. Topically it helps skin retain moisture and supports structures for a more youthful look.,moistur,,moistur,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Threonine,"An essential amino acid known to do more in the body than on skin, with its benefit for skin mostly being about hydration and promoting firmer skin","firm,hydrat",,firm,good,1.0,1.0,1.0,0.0,0.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Threonine,"An essential amino acid known to do more in the body than on skin, with its benefit for skin mostly being about hydration and promoting firmer skin","firm,hydrat",,hydrat,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Valine,This essential amino acid helps soothe skin and improve hydration. It works with other amino acids to improve skin and bodily health.,"heal,hydrat,sooth",,heal,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Valine,This essential amino acid helps soothe skin and improve hydration. It works with other amino acids to improve skin and bodily health.,"heal,hydrat,sooth",,hydrat,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Valine,This essential amino acid helps soothe skin and improve hydration. It works with other amino acids to improve skin and bodily health.,"heal,hydrat,sooth",,sooth,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Acetyl Glutamine,Enhance skin’s moisture retention and barrier health. May also extend skin’s healthspan.,"barrier,heal,moistur",,barrier,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Acetyl Glutamine,Enhance skin’s moisture retention and barrier health. May also extend skin’s healthspan.,"barrier,heal,moistur",,heal,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Acetyl Glutamine,Enhance skin’s moisture retention and barrier health. May also extend skin’s healthspan.,"barrier,heal,moistur",,moistur,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Coconut Alkanes,Coconut alkanes is a solvent and skin-softening emollient. It’s derived from fatty acids found in coconut oil. Learn more at Paula’s Choice Skincare.,"emollient,soft",,emollient,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Coconut Alkanes,Coconut alkanes is a solvent and skin-softening emollient. It’s derived from fatty acids found in coconut oil. Learn more at Paula’s Choice Skincare.,"emollient,soft",,soft,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Coco-Caprylate/Caprate,"An emollient that leaves a non-greasy, soft finish on skin. Can also function as a prebiotic to help feed skin's natural supply of probiotics.","emollient,soft",,emollient,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Coco-Caprylate/Caprate,"An emollient that leaves a non-greasy, soft finish on skin. Can also function as a prebiotic to help feed skin's natural supply of probiotics.","emollient,soft",,soft,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Sodium Hyaluronate,"The salt form of hyaluronic acid. Like its sister ingredient, it's considered an excellent moisturizer, helping skin retain water so it looks and feels smoother. It is more bioavailable than hyaluronic acid, meaning it is more readily absorbed by skin.","moistur,smooth",,moistur,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Sodium Hyaluronate,"The salt form of hyaluronic acid. Like its sister ingredient, it's considered an excellent moisturizer, helping skin retain water so it looks and feels smoother. It is more bioavailable than hyaluronic acid, meaning it is more readily absorbed by skin.","moistur,smooth",,smooth,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Aspartic Acid,"Considered a non-essential amino acid because the body can make it, aspartic acid is a key building block of skin’s proteins.",,,,,,,,,
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Linoleic Acid,"Omega-6 fatty acid that’s the most abundant fatty acid found in skin’s upper layers. In skin care, it serves as an antioxidant, emollient, and thickening ingredient.","antioxidant,emollient",,antioxidant,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Linoleic Acid,"Omega-6 fatty acid that’s the most abundant fatty acid found in skin’s upper layers. In skin care, it serves as an antioxidant, emollient, and thickening ingredient.","antioxidant,emollient",,emollient,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Linolenic Acid,"An omega-3 fatty acid that helps condition, support, and restore skin. Research also shows it has soothing and potentially spot-fading properties.","restore,sooth",,restore,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Linolenic Acid,"An omega-3 fatty acid that helps condition, support, and restore skin. Research also shows it has soothing and potentially spot-fading properties.","restore,sooth",,sooth,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,1,1,1,1,0,Lecithin,"Beneficial properties include emolliency (think skin softening), water-binding (to boost hydration), and emulsifying (to help water + oil ingredients mesh in a formula). Can also be used to encapsulate ingredients for improved dermal delivery.","hydrat,soft",,hydrat,good,1.0,1.0,1.0,0.0,1.0
