ingredient,in_skin_map,in_incidecoder,skin_types,effect,confidence,inci_source,inci_slug,inci_what_it_does,inci_details
-a hydrating complex of ectoin,1,0,dry; pigmentation; wrinkle,good,low,,,,
-aha blend (glycolic,1,0,oily; pigmentation,good,medium,,,,
-aha blend glycolic + tartaric,1,0,oily; pigmentation,good,medium,,,,
-ahas (from bluberry,1,0,oily; pigmentation,good,low,,,,
-ahas + fruit enzymes (pomegranate,1,0,oily; pigmentation,good,low,,,,
-alpha hydroxy acid blend (from bilberry,1,0,dry; pigmentation; wrinkle,good,low,,,,
-alpha hydroxy acids (glycolic acid,1,0,oily; pigmentation,good,medium,,,,
-alpha-bisabolol,1,0,sensitive; wrinkle,good,low,,,,
-anogeissus water,1,0,dry,good,low,,,,
-aqua water eau,1,0,normal,neutral,low,,,,
-avobenzone,1,0,wrinkle,good,low,,,,
-avobenzone 22% -octinoxate 75% water,1,0,wrinkle,good,low,,,,
-avobenzone 3% -octinoxate 75% -petrolatum 402% beeswax,1,0,wrinkle,good,low,,,,
-avocado,1,0,dry,good,low,,,,
-blend of french green clay,1,0,oily; pigmentation,good,low,,,,
-blend of sweet almond,1,0,dry; oily; wrinkle,good,low,,,,
-blue agave extract,1,0,normal,good,low,,,,
-charcoal -snow lotus,1,0,oily,good,low,,,,
-chlorella extract,1,0,dry; sensitive,good,low,,,,
-citrus bioflavonoids,1,0,normal; sensitive,good,low,,,,
-cocoa butter,1,0,dry,good,low,,,,
-coconut,1,0,oily,good,low,,,,
-complex of balloon vine,1,0,normal,neutral,low,,,,
-complex of cardiospermum,1,0,normal,neutral,low,,,,
-complex of maclura bioflavonoids,1,0,normal; sensitive,good,low,,,,
-complex of yeast,1,0,dry; sensitive; wrinkle,good,low,,,,
-coq10,1,0,pigmentation; wrinkle,good,low,,,,
-dark circle complex (caffeine,1,0,wrinkle,good,low,,,,
-dermal lipids (phospholipids,1,0,dry,good,low,,,,
-dihydroxyacetone water dihydroxyacetone,1,0,dry,good,low,,,,
-enzymatically activated oils of olive,1,0,dry,good,low,,,,
-epimedium,1,0,normal,neutral,low,,,,
-essential oils of sage,1,0,dry,good,low,,,,
-essential oils of sandalwood,1,0,dry,good,low,,,,
-four types of hyaluronic acid,1,0,dry; sensitive,good,medium,,,,
-full-spectrum,1,0,normal,neutral,low,,,,
-ginseng -olive oil,1,0,dry,good,low,,,,
-glow plus complex (acerola seed,1,0,pigmentation; wrinkle,good,low,,,,
-glycerin,1,0,dry; sensitive,good,medium,,,,
-glycolic acid and time-released,1,0,oily; pigmentation,good,medium,,,,
-grapeseed,1,0,pigmentation; wrinkle,good,low,,,,
-ha spheres,1,0,normal,neutral,low,,,,
-homosalate,1,0,wrinkle,good,low,,,,
-hyaluronic acid,1,0,dry; sensitive,good,medium,,,,
-hyaluronic acid -ceramide,1,0,dry; sensitive,good,medium,,,,
-hyaluronic acid -red algae,1,0,dry,good,high,,,,
-hyaluronic acid -sea kelp -avocado oil aqua,1,0,dry,good,low,,,,
-hyaluronic acids water aqua eau,1,0,dry; sensitive,good,medium,,,,
-hydrolyzed silk,1,0,dry,good,low,,,,
-jojoba oil -bifidus extract,1,0,dry,good,low,,,,
-kakadu plum (vitamin a,1,0,oily; wrinkle,good,low,,,,
-kalahari melon,1,0,oily; pigmentation,good,low,,,,
-kombu-bounce complex (green,1,0,normal,neutral,low,,,,
-ligustrum lucidum seed,1,0,normal,neutral,low,,,,
-lutein,1,0,wrinkle,good,low,,,,
-magnesium chelate blend (gluconate,1,0,dry; oily,good,low,,,,
-mango,1,0,dry,good,low,,,,
-marine collagen,1,0,dry; wrinkle,good,low,,,,
-matrixyl,1,0,wrinkle,good,low,,,,
-meadowfoam,1,0,dry,good,low,,,,
-meltingpoint complex (mango seed butter,1,0,dry,good,low,,,,
-micro-exfoliating minerals (quartz,1,0,,neutral,low,,,,
-niacinamide -pumpkin seed extract -caffeine aqua,1,0,oily; pigmentation,good,medium,,,,
-nicotinamide riboside,1,0,oily; pigmentation; sensitive; wrinkle,good,low,,,,
-nourishing blend of shea,1,0,normal,neutral,low,,,,
-nurturing four-oil blend (jojoba,1,0,dry,good,low,,,,
-nutrient blend,1,0,normal,neutral,low,,,,
-octinoxate,1,0,wrinkle,good,low,,,,
-oil-free,1,0,dry,good,low,,,,
-omega fatty acids (3,1,0,dry; wrinkle,good,low,,,,
-omega-3,1,0,dry; wrinkle,good,low,,,,
-omegas 3,1,0,dry; wrinkle,good,low,,,,
-organic agropyron,1,0,normal,neutral,low,,,,
-papaya,1,0,oily; pigmentation,good,low,,,,
-patented,1,0,normal,neutral,low,,,,
-pearl extract -niacinamide,1,0,oily; pigmentation,good,medium,,,,
-pha,1,0,oily; pigmentation,good,medium,,,,
-postbiotic artic ferment,1,0,pigmentation; wrinkle,good,low,,,,
-pre-,1,0,normal,neutral,low,,,,
-prebiotic lactic acid,1,0,dry; oily; pigmentation,good,medium,,,,
-proprietary,1,0,normal,neutral,low,,,,
-proprietary complex of black tea ferment,1,0,sensitive; wrinkle,good,low,,,,
-pumpkin,1,0,dry; wrinkle,good,low,,,,
-pure vitamin c,1,0,pigmentation; wrinkle,good,medium,,,,
-raspberry seed oil,1,0,dry,good,low,,,,
-resveratrol and vitamin c,1,0,pigmentation; wrinkle,good,medium,,,,
-retinoid,1,0,normal,neutral,low,,,,
-retinoid complex 65% (retinol,1,0,wrinkle,good,medium,,,,
-retinol -vitamin c,1,0,wrinkle,good,medium,,,,
-rhodiola,1,0,sensitive; wrinkle,good,low,,,,
-rose water -caffeine-infused,1,0,wrinkle,good,low,,,,
-rosewood,1,0,dry; sensitive,good,low,,,,
-salicylic,1,0,oily,good,medium,,,,
-salicylic acid 1% water,1,0,oily,good,medium,,,,
-salicylic acid 2% water,1,0,oily,good,medium,,,,
-self tan complex with dha and erythrulose,1,0,dry; pigmentation,good,low,,,,
-seven luxurious oils (kalahari melon,1,0,oily; pigmentation,good,low,,,,
-shatavari,1,0,dry; sensitive,good,low,,,,
-shea butter,1,0,dry,good,low,,,,
-shilajit,1,0,normal,neutral,low,,,,
-skin quenching oil blend (coconut,1,0,dry,good,low,,,,
-sodium hyaluronate -shea butter water\aqua\eau,1,0,dry; sensitive,good,medium,,,,
-squalane -glycerin -snow mushroom aqua,1,0,dry,good,medium,,,,
-sunflower,1,0,dry,good,low,,,,
-sunflower seed cake,1,0,dry,good,low,,,,
-thin layers of silk (fibroin,1,0,normal,neutral,low,,,,
-three oil-soluble peptides (palmitoyl hexapeptide-12,1,0,wrinkle,good,low,,,,
-titanium dioxide,1,0,normal; pigmentation; wrinkle,good,low,,,,
-titanium dioxide -zinc oxide cyclopentasiloxane,1,0,sensitive,good,medium,,,,
-triple peptide blend (oligopeptide,1,0,wrinkle,good,low,,,,
-ultra-hydration blend (ceramides,1,0,dry; sensitive,good,medium,,,,
-vitamin c : brightens the look of skin tone and texture -sea buckthorn fruit extract: is rich in vitamins to help provide an antioxidant effect and brighten skin tone -grapefruit extract: smooths,1,0,dry; wrinkle,good,high,,,,
-vitamin e,1,0,pigmentation; wrinkle,good,low,,,,
-vitamins a,1,0,pigmentation; wrinkle,good,low,,,,
-vitamins b,1,0,pigmentation; wrinkle,good,low,,,,
-vitamins b3,1,0,pigmentation; wrinkle,good,low,,,,
-volcanic,1,0,normal,neutral,low,,,,
-water aqua eau,1,0,normal,neutral,low,,,,
-wild juneberry (from jackson hole,1,0,normal,neutral,low,,,,
-zinc oxide,1,0,sensitive,good,medium,,,,
1 peeling peptide,1,0,wrinkle,good,low,,,,
1% licorice root extract,1,0,pigmentation; sensitive; wrinkle,good,low,,,,
1% red algae complex,1,0,dry,good,low,,,,
1% resveratrol,1,0,pigmentation; sensitive; wrinkle,good,low,,,,
"1, 2-hexanediol",1,0,dry,good,medium,,,,
"1,10-decanediol",1,0,,neutral,low,,,,
"1,2 hexanedio",1,0,normal,neutral,low,,,,
"1,2 hexanediol",1,0,,neutral,low,,,,
"1,2- hexanediol",1,0,,neutral,low,,,,
"1,2-butanediol",1,0,dry; normal,good,medium,,,,
"1,2-heanediol",1,0,,neutral,low,,,,
"1,2-hexandiol",1,0,,neutral,low,,,,
"1,2-hexanediol",1,0,,neutral,low,,,,
"1,2-hexanediol,caprylyl glycol",1,0,dry,good,low,,,,
"1,2-hexanediol,spirulina platensis powder",1,0,oily,good,low,,,,
"1,2-hexanidiol",1,0,,neutral,low,,,,
"1,3-butylene glycol",1,0,dry,good,low,,,,
"1,5,5,9-tetramethyl-13-oxatricyclo )tridecane",1,0,dry; oily,good,low,,,,
1- -3-hexanol,1,0,normal,neutral,low,,,,
1-methyl-4- cyclohex-3-ene-1-carbaldehyde,1,0,dry; normal,good,low,,,,
1-methylhydantoin-2-imide,1,0,normal,good,medium,,,,
1-naphthaleneacetic acid,1,0,normal,good,medium,,,,
10% azelaic acid,1,0,normal; oily; pigmentation; sensitive,good,low,,,,
10% azelaic acid derivative,1,0,normal; oily; pigmentation; sensitive,good,low,,,,
10-hydroxydecanoic acid,1,0,dry,good,medium,,,,
10-hydroxydecenoic acid,1,0,normal,good,medium,,,,
10-hydroxystearic acid,1,0,normal,good,medium,,,,
100 percent mineral zinc oxide,1,0,sensitive,good,medium,,,,
100 percent natural dha,1,0,,neutral,low,,,,
100 percent pure argan oil,1,0,dry,good,low,,,,
100% natural fragrance,1,0,sensitive,avoid,high,,,,
100% natural green clay,1,0,oily; pigmentation,good,low,,,,
100% polyester,1,0,dry; normal,good,low,,,,
100% unrefined sclerocraya birrea kernel oil,1,0,dry,good,medium,,,,
12-hexanediol,1,0,,neutral,low,,,,
15 alkane-c13,1,0,normal,neutral,low,,,,
15 dimethicone,1,0,dry; sensitive,good,low,,,,
15 percent vitamin c,1,0,pigmentation; wrinkle,good,medium,,,,
15 super-greens complex,1,0,normal,neutral,low,,,,
16-alpha ethyl estradiolcarboxylate,1,0,dry; normal,good,medium,,,,
16-beta methyl estradiolpropanoate,1,0,dry; normal,good,medium,,,,
17 digestive enzymes,1,0,dry,good,low,,,,
18 nutrients,1,0,normal,neutral,low,,,,
2 fatty acids,1,0,normal,neutral,low,,,,
2 g fruiting body tremella fuciformis 1,1,0,dry,good,low,,,,
2% caffeine,1,0,wrinkle,good,low,,,,
2% colloidal oatmeal,1,0,sensitive,good,low,,,,
2% gluconic acid,1,0,oily; pigmentation,good,low,,,,
2% kakadu plum extract,1,0,wrinkle,good,low,,,,
2% licorice root,1,0,pigmentation; sensitive; wrinkle,good,low,,,,
2% succinic acid,1,0,oily; sensitive,good,low,,,,
"2,3-butanediol",1,0,dry,good,medium,,,,
"2,5-dihydroxybenzoic acid",1,0,normal,good,medium,,,,
"2,5-dihydroxybenzoyl dipeptide-27",1,0,dry; normal,good,medium,,,,
"2,5-dihydroxybenzoyl dipeptide-48",1,0,dry; normal,good,medium,,,,
2-acetylhydroquinone,1,0,normal,good,medium,,,,
"2-amino-4,5-dimethylthiazole hbr",1,0,normal,good,medium,,,,
2-capryloyl capryloyl methyl alaninate,1,0,dry; normal; oily,good,medium,,,,
2-hexanediol,1,0,,neutral,low,,,,
2-hydroxyethyl acrylate,1,0,normal,neutral,low,,,,
2-methyl 5-cyclohexylpentanol,1,0,normal,good,medium,,,,
2-methyl-4-hydroxypyrrolidine,1,0,normal,good,medium,,,,
2-o-ethyl ascorbic acid,1,0,normal,good,medium,,,,
"2-oleamido-1,3,4-octadecatriyl prolinate",1,0,normal; oily,good,medium,,,,
"2-oleamido-1,3-octadecanediol",1,0,dry; normal,good,low,,,,
2-propyl-5-cyclohexylpentanol,1,0,normal,good,medium,,,,
20% aloe juice,1,0,dry; sensitive,good,low,,,,
24k gold,1,0,,neutral,low,,,,
24k gold and colloidal gold,1,0,,neutral,low,,,,
25 milligram broad-spectrum hemp extract,1,0,normal,good,low,,,,
25% acids,1,0,oily; pigmentation,good,low,,,,
3 weights of hyaluronic acid,1,0,dry; sensitive,good,medium,,,,
3% caffeine,1,0,wrinkle,good,low,,,,
3% polyglutamic acid complex,1,0,dry; wrinkle,good,low,,,,
3% tranexamic acid,1,0,pigmentation; wrinkle,good,low,,,,
3) -maca,1,0,normal,neutral,low,,,,
"3,3,5-trimethylcyclohexyl succinate dimethylamide",1,0,normal,good,medium,,,,
"3,4-dihydroxybenzoyl dipeptide-49 amide",1,0,dry; normal,good,medium,,,,
"3,4-methylenedioxybenzyl methylsulfone",1,0,normal,good,medium,,,,
"3,7-dimethyl-1-octanol",1,0,normal,neutral,low,,,,
3-0-ethyl ascorbic acid,1,0,pigmentation; wrinkle,good,high,,,,
3-0-ethylascorbic acid,1,0,pigmentation; wrinkle,good,medium,,,,
3-aminopropane sulfonic acid,1,0,oily; pigmentation,good,low,,,,
3-ascorbyl carbonyl dipeptide-17,1,0,normal,good,medium,,,,
3-benzylidene camphor,1,0,oily,good,medium,,,,
3-butylglyceryl ascorbate,1,0,dry; normal,good,medium,,,,
3-ceramide blend,1,0,dry; sensitive,good,medium,,,,
3-ethylhexylglyceryl ascorbate,1,0,dry,good,medium,,,,
3-glyceryl ascorbate,1,0,dry,good,medium,,,,
3-hexenol,1,0,normal,good,medium,,,,
3-hydroxybenzoic acid,1,0,normal,good,medium,,,,
3-hydroxybutyric acid,1,0,dry; oily,good,medium,,,,
3-lauryl/tridecylglyceryl ascorbate,1,0,dry; normal,good,medium,,,,
3-laurylglyceryl ascorbate,1,0,dry; normal,good,medium,,,,
3-methyl-4- -3-butene-2-one,1,0,normal,neutral,low,,,,
3-o ethyl ascorbic acid,1,0,pigmentation; wrinkle,good,medium,,,,
3-o-cetyl ascorbic acid,1,0,normal,good,medium,,,,
3-o-ethyl ascorbic acid,1,0,pigmentation; wrinkle,good,medium,,,,
3-oethyl ascorbic acid,1,0,pigmentation; wrinkle,good,medium,,,,
3-plant ceramides,1,0,dry; sensitive,good,medium,,,,
300+ types of natural peptides,1,0,wrinkle,good,low,,,,
3x ceramides,1,0,dry; sensitive,good,medium,,,,
4 isostearate,1,0,,neutral,low,,,,
4 peptide proteins,1,0,wrinkle,good,low,,,,
4 weights of hyaluronic acid,1,0,dry; sensitive,good,medium,,,,
4'-methoxychalcone,1,0,normal,good,medium,,,,
4-amino-3-hydroxybutyric acid,1,0,normal,good,medium,,,,
4-butylresorcinol,1,0,pigmentation,good,medium,,,,
4-ethylresorcinol,1,0,pigmentation,good,low,,,,
4-furanylethyl resorcinol,1,0,normal,good,medium,,,,
4-t- butylcyclohexanol,1,0,dry; normal,good,low,,,,
4-t-butylcyclohexanol,1,0,dry; sensitive,good,medium,,,,
4-terpineol,1,0,,neutral,low,,,,
4-terpineol),1,0,,neutral,low,,,,
4d hyaluronic acid,1,0,dry; sensitive,good,medium,,,,
4msk,1,0,pigmentation,good,medium,,,,
5 chelated essential minerals,1,0,,neutral,low,,,,
5 peptides,1,0,wrinkle,good,low,,,,
5% bakuchiol,1,0,pigmentation; sensitive; wrinkle,good,low,,,,
5% kakadu plum extract,1,0,wrinkle,good,low,,,,
5% nordic peat,1,0,normal,good,low,,,,
5% pha and azelaic acid,1,0,normal; oily; pigmentation; sensitive,good,low,,,,
5% pro-vitamin b5,1,0,dry; sensitive; wrinkle,good,low,,,,
5-flower oil blend,1,0,dry,good,low,,,,
500 and 50 kda),1,0,normal,neutral,low,,,,
5kda hyaluronic acid,1,0,dry; sensitive,good,medium,,,,
6 copolymer,1,0,normal,neutral,low,,,,
6% malachite complex,1,0,normal,good,low,,,,
6-butterlipid complex,1,0,normal,neutral,low,,,,
6-naphthalate,1,0,normal,neutral,low,,,,
6324f21a-9a5a-4f15-8a0a-5d08edd640f1,1,0,normal,neutral,low,,,,
7% and plant extracts,1,0,normal,good,low,,,,
7) synergen skin complex,1,0,normal,neutral,low,,,,
7-acid blend of ahas bha pha,1,0,oily; pigmentation,good,medium,,,,
7-dehydrocholesterol,1,0,normal,good,medium,,,,
"7-methyl-2h-benzo-1,5-dioxepin-3 -one",1,0,normal,neutral,low,,,,
70% alcohol,1,0,dry,good,low,,,,
70% ethyl alcohol,1,0,dry,good,low,,,,
77491,1,0,normal,neutral,low,,,,
77492,1,0,normal,neutral,low,,,,
77499),1,0,,neutral,low,,,,
77942,1,0,normal,neutral,low,,,,
8 plant-derived oils and extracts,1,0,dry,good,low,,,,
8-hydroxydaidzein,1,0,normal,good,medium,,,,
9 jelly cleanser,1,0,normal,neutral,low,,,,
<br>-hyaluronic acid,1,0,dry; sensitive,good,medium,,,,
<br>-vegan collagen,1,0,dry; wrinkle,good,low,,,,
<br>-vegan collagen i,1,0,dry; wrinkle,good,low,,,,
[+,1,0,normal,neutral,low,,,,
[+ -,1,0,normal,neutral,low,,,,
[+ - mica,1,0,normal,neutral,medium,,,,
[+ -: titanium dioxide,1,0,normal,neutral,high,,,,
[+ -] mica,1,0,,neutral,low,,,,
[may contain,1,0,normal,neutral,low,,,,
[may contain peut contenir,1,0,normal,neutral,low,,,,
[may contain peut contenir +,1,0,normal,neutral,low,,,,
[may contain titanium dioxide ci 77891,1,0,normal; pigmentation; wrinkle,good,low,,,,
[parfum ],1,0,sensitive,avoid,medium,,,,
a 70 propellant,1,0,,avoid,low,,,,
a blend of emollients and colza flower extract,1,0,normal,good,low,,,,
a complex of oligopeptides and amino acids,1,0,wrinkle,good,low,,,,
a firming peptide,1,0,wrinkle,good,low,,,,
a plant-derived emollient,1,0,dry,good,low,,,,
a stable vitamin c derivative aqua water eau,1,0,pigmentation; wrinkle,good,medium,,,,
a-bisabolol,1,0,sensitive; wrinkle,good,low,,,,
a-pinene,1,0,normal,neutral,low,,,,
a70 propellant,1,0,,avoid,low,,,,
abaca leaf,1,0,normal,neutral,low,,,,
abalone extract,1,0,normal,good,medium,,,,
abeliophyllum distichum extract,1,0,normal,good,medium,,,,
abeliophyllum distichum leaf extract,1,0,dry; normal,good,medium,,,,
abelmoschus esculentus fruit extract,1,0,normal,good,medium,,,,
abelmoschus manihot flower extract,1,0,normal,good,medium,,,,
abelmoschus manihot flower water,1,0,dry; normal,good,medium,,,,
abelmoschus manihot flower/stem extract,1,0,dry; normal,good,medium,,,,
abelmoschus manihot root extract,1,0,dry; normal,good,medium,,,,
abies alba extract,1,0,normal,good,medium,,,,
abies alba leaf cera,1,0,normal,good,medium,,,,
abies alba leaf wax,1,0,normal,good,medium,,,,
abies alba seed extract,1,0,normal,good,medium,,,,
abies alba seed oil,1,0,normal,good,medium,,,,
abies balsamea bark oil,1,0,normal,good,medium,,,,
abies balsamea needle oil,1,0,dry,good,low,,,,
abies homolepis leaf extract,1,0,dry; oily,good,medium,,,,
abies koreana leaf extract,1,0,normal,good,medium,,,,
abies koreana leaf powder,1,0,normal,good,medium,,,,
abies pectinata leaf oil,1,0,dry,good,low,,,,
abies sachalinensis leaf extract,1,0,dry; normal,good,medium,,,,
abies sibirica needle oil,1,0,dry,good,low,,,,
abies sibirica oil,1,0,dry,good,low,,,,
abies spectabilis branch/leaf oil,1,0,normal,good,medium,,,,
abies veitchii leaf extract,1,0,dry; oily,good,medium,,,,
abietoyl dipeptide-22,1,0,normal,good,medium,,,,
abronia villosa leaf extract,1,0,normal,good,medium,,,,
abrus fruticulosus leaf extract,1,0,normal,good,medium,,,,
abrus fruticulosus root extract,1,0,normal,good,medium,,,,
abrus precatorius meristem cell culture extract,1,0,normal,good,medium,,,,
absorb surface oil,1,0,dry,good,low,,,,
absorbs excess oil and refines pores water,1,0,dry,good,low,,,,
absorbs oil,1,0,dry,good,low,,,,
abyssinian,1,0,normal,neutral,low,,,,
abyssinica oil,1,0,dry,good,low,,,,
acacia arabica bark powder,1,0,normal,good,medium,,,,
acacia arabica stem bark extract,1,0,normal,good,medium,,,,
acacia arabica stem bark powder,1,0,normal,good,medium,,,,
acacia catechu bark powder,1,0,normal,good,medium,,,,
acacia catechu leaf/wood powder,1,0,normal,good,medium,,,,
acacia catechu seed extract,1,0,normal,good,medium,,,,
acacia catechu seed powder,1,0,normal,good,medium,,,,
acacia concinna fruit extract,1,0,normal,good,medium,,,,
acacia dealbata flower cera,1,0,dry; normal,good,medium,,,,
acacia dealbata flower extract,1,0,normal,good,medium,,,,
acacia dealbata flower stem extract,1,0,normal,good,low,,,,
acacia dealbata flower wax,1,0,dry; normal,good,medium,,,,
acacia dealbata flower/stem extract,1,0,normal,good,medium,,,,
acacia dealbata leaf extract,1,0,normal,good,medium,,,,
acacia dealbata seed extract,1,0,normal,good,medium,,,,
acacia decurrens dealbata flower extract,1,0,normal,good,low,,,,
acacia decurrens extract,1,0,normal; oily,good,medium,,,,
acacia decurrens flower cera,1,0,dry; normal,good,medium,,,,
acacia decurrens flower cera acacia decurrens flower wax,1,0,dry; normal,good,low,,,,
acacia decurrens flower cera wax,1,0,dry; normal,good,low,,,,
acacia decurrens flower extract,1,0,normal,good,low,,,,
acacia decurrens flower wax,1,0,dry; normal,good,medium,,,,
acacia decurrens jojoba sunflower seed wax,1,0,dry,good,low,,,,
acacia decurrens jojoba sunflower seed wax polyglyceryl-3 esters,1,0,dry; oily,good,high,,,,
acacia decurrens leaf extract,1,0,normal,good,medium,,,,
acacia farnesiana extract,1,0,normal,good,low,,,,
acacia farnesiana flower wax,1,0,dry,good,low,,,,
acacia farnesiana flower/stem extract,1,0,oily,good,medium,,,,
acacia farnesiana gum,1,0,oily,good,medium,,,,
acacia farnesiana stem bark extract,1,0,normal,good,medium,,,,
acacia honey,1,0,dry; sensitive; wrinkle,good,low,,,,
acacia mearnsii bark extract,1,0,normal,good,medium,,,,
acacia melanoxylon leaf extract,1,0,dry; normal,good,medium,,,,
acacia saligna leaf extract,1,0,normal; oily,good,medium,,,,
acacia senegal gum,1,0,sensitive,good,medium,,,,
acacia seyal gum,1,0,dry,good,medium,,,,
acacia seyal gum extract,1,0,dry,good,medium,,,,
acacia victoriae fruit extract,1,0,normal,good,medium,,,,
acacia victoriae seed extract,1,0,normal,good,medium,,,,
acacia victoriae seed oil,1,0,dry; normal,good,medium,,,,
acai,1,0,sensitive; wrinkle,good,medium,,,,
acai berry extract,1,0,normal,good,low,,,,
acai extract,1,0,normal,good,low,,,,
acai fruit oil,1,0,dry,good,low,,,,
acalypha reptans callus culture extract,1,0,dry; normal,good,medium,,,,
acanthopanax koreanum adventitious root culture extract,1,0,dry; normal,good,medium,,,,
acanthopanax koreanum bark extract,1,0,dry; normal,good,medium,,,,
acanthopanax koreanum branch/leaf extract,1,0,dry,good,medium,,,,
acanthopanax koreanum extract,1,0,normal,good,medium,,,,
acanthopanax koreanum fruit extract,1,0,normal,good,medium,,,,
acanthopanax koreanum oil,1,0,normal,good,medium,,,,
acanthopanax koreanum root extract,1,0,dry; normal,good,medium,,,,
acanthopanax senticosus callus culture extract,1,0,normal,good,medium,,,,
acanthopanax senticosus extract,1,0,normal,good,medium,,,,
acanthopanax senticosus root,1,0,dry,good,medium,,,,
acanthopanax senticosus root extract,1,0,normal; sensitive,good,medium,,,,
acanthopanax senticosus root water,1,0,normal,good,medium,,,,
acanthopanax senticosus stem extract,1,0,normal,good,medium,,,,
acanthopanax sessiliflorus bark extract,1,0,normal,good,medium,,,,
acanthopanax sessiliflorus callus extract,1,0,dry; normal,good,medium,,,,
acanthopanax sessiliflorus root extract,1,0,normal,good,medium,,,,
acanthopanax sessiliflorus stem extract,1,0,normal,good,medium,,,,
acanthosicyos horridus seed oil,1,0,normal,good,medium,,,,
acanthus mollis leaf extract,1,0,normal,good,medium,,,,
acca sellowiana fruit extract,1,0,normal,good,medium,,,,
acceptance,1,0,normal,neutral,low,,,,
acefylline methylsilanol mannuronate,1,0,normal,good,medium,,,,
acephala leaf extract,1,0,dry; wrinkle,good,low,,,,
acer campestre bud extract,1,0,dry,good,medium,,,,
acer mono sap,1,0,normal,good,medium,,,,
acer nikoense bark extract,1,0,normal,good,medium,,,,
acer nikoense branch/stem extract,1,0,normal,good,medium,,,,
acer pseudoplatanus extract,1,0,normal,good,medium,,,,
acer rubrum bark extract,1,0,normal,good,medium,,,,
acer rubrum extract,1,0,normal,good,medium,,,,
acer rubrum leaf extract,1,0,normal,good,medium,,,,
acer saccarum extract,1,0,normal,good,low,,,,
acer saccharum extract,1,0,wrinkle,good,medium,,,,
acer saccharum extract sugar maple extract,1,0,wrinkle,good,low,,,,
acer saccharum sap,1,0,dry; normal,good,medium,,,,
acer saccharum sap extract,1,0,dry; normal,good,medium,,,,
acer tegmentosum stem extract,1,0,normal,good,medium,,,,
acerola,1,0,pigmentation; wrinkle,good,low,,,,
acerola cherry,1,0,pigmentation; wrinkle,good,low,,,,
acerola cherry extract,1,0,dry; sensitive,good,low,,,,
acerola fruit extract,1,0,dry; wrinkle,good,medium,,,,
acerola seed extract,1,0,normal,good,low,,,,
acetamide mea,1,0,dry; normal,good,medium,,,,
acetamidoethoxybutyl trimonium chloride,1,0,dry; normal,good,medium,,,,
acetamidoethoxyethanol,1,0,,neutral,low,,,,
acetamidophenyl methoxypropionic acid,1,0,dry; normal,good,medium,,,,
acetaminophen,1,0,normal,good,medium,,,,
acetaminosalol,1,0,oily,good,medium,,,,
acetate,1,0,,neutral,low,,,,
acetic acid,1,0,oily; pigmentation,good,low,,,,
acetobacter/ginkgo biloba leaf ferment extract,1,0,dry; normal,good,medium,,,,
acetoxyandrostenedione,1,0,normal,good,medium,,,,
acetyl arginine,1,0,dry; normal,good,medium,,,,
acetyl aspartic acid,1,0,normal,good,medium,,,,
acetyl benzoyloxy prasterone,1,0,normal,good,medium,,,,
acetyl beta-alanyl tripeptide-50,1,0,normal,good,medium,,,,
acetyl beta-boswellic acid,1,0,normal,good,medium,,,,
acetyl carnitine,1,0,normal,good,medium,,,,
acetyl carnitine hcl,1,0,dry,good,medium,,,,
acetyl citrull amido arginine,1,0,dry; wrinkle,good,low,,,,
acetyl cyclodextrin,1,0,dry; normal,good,medium,,,,
